date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:59	146813/146813	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202016%2016:00:28%20GMT	https://www.ifly50.com/en_in/50	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/en_in/50.html	(from )
21:41:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Oct%202016%2016:10:58%20GMT	https://www.ifly50.com/robots.txt		(from )
21:41:01	127919/127919	---M--	200	added ('OK')	image/jpeg	etag:819383a14012e82632ec55679fcaad3a	https://b922bde52f23a8481830-83cb7d8d544f653b52d1a1621f05ea9d.ssl.cf3.rackcdn.com/images/_1200x630_crop_center-center/13_Filippijnen_Sambawan-min.jpg	C:/Users/Keerti%20Gautam/Documents/IF50/b922bde52f23a8481830-83cb7d8d544f653b52d1a1621f05ea9d.ssl.cf3.rackcdn.com/images/_1200x630_crop_center-center/13_Filippijnen_Sambawan-min.jpg	(from https://www.ifly50.com/en_in/50)
21:41:02	3855/3855	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Oct%202016%2016:11:01%20GMT	https://www.ifly50.com/en_in/mstile-144x144.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/en_in/mstile-144x144.2.delayed	(from https://www.ifly50.com/en_in/50)
21:41:03	2406/2406	---M--	200	added ('OK')	image/png	etag:%22966-532816e1b34c0%22	https://www.ifly50.com/apple-touch-icon-57x57.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/apple-touch-icon-57x57.png	(from https://www.ifly50.com/en_in/50)
21:41:05	5134/5134	---M--	200	added ('OK')	image/png	etag:%22140e-532816e1b34c0%22	https://www.ifly50.com/apple-touch-icon-114x114.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/apple-touch-icon-114x114.png	(from https://www.ifly50.com/en_in/50)
21:41:06	3094/3094	---M--	200	added ('OK')	image/png	etag:%22c16-532816e1b34c0%22	https://www.ifly50.com/apple-touch-icon-72x72.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/apple-touch-icon-72x72.png	(from https://www.ifly50.com/en_in/50)
21:41:07	6553/6553	---M--	200	added ('OK')	image/png	etag:%221999-532816e1b34c0%22	https://www.ifly50.com/apple-touch-icon-144x144.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/apple-touch-icon-144x144.png	(from https://www.ifly50.com/en_in/50)
21:41:08	2561/2561	---M--	200	added ('OK')	image/png	etag:%22a01-532816e1b34c0%22	https://www.ifly50.com/apple-touch-icon-60x60.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/apple-touch-icon-60x60.png	(from https://www.ifly50.com/en_in/50)
21:41:09	5375/5375	---M--	200	added ('OK')	image/png	etag:%2214ff-532816e1b34c0%22	https://www.ifly50.com/apple-touch-icon-120x120.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/apple-touch-icon-120x120.png	(from https://www.ifly50.com/en_in/50)
21:41:11	3318/3318	---M--	200	added ('OK')	image/png	etag:%22cf6-532816e1b34c0%22	https://www.ifly50.com/apple-touch-icon-76x76.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/apple-touch-icon-76x76.png	(from https://www.ifly50.com/en_in/50)
21:41:12	6903/6903	---M--	200	added ('OK')	image/png	etag:%221af7-532816e1b34c0%22	https://www.ifly50.com/apple-touch-icon-152x152.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/apple-touch-icon-152x152.png	(from https://www.ifly50.com/en_in/50)
21:41:13	9106/9106	---M--	200	added ('OK')	image/png	etag:%222392-532816e1b34c0%22	https://www.ifly50.com/favicon-196x196.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/favicon-196x196.png	(from https://www.ifly50.com/en_in/50)
21:41:14	7249/7249	---M--	200	added ('OK')	image/png	etag:%221c51-532816e1b34c0%22	https://www.ifly50.com/favicon-160x160.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/favicon-160x160.png	(from https://www.ifly50.com/en_in/50)
21:41:15	4245/4245	---M--	200	added ('OK')	image/png	etag:%221095-532816e1b34c0%22	https://www.ifly50.com/favicon-96x96.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/favicon-96x96.png	(from https://www.ifly50.com/en_in/50)
21:41:16	718/718	---M--	200	added ('OK')	image/png	etag:%222ce-532816e1b34c0%22	https://www.ifly50.com/favicon-16x16.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/favicon-16x16.png	(from https://www.ifly50.com/en_in/50)
21:41:17	1335/1335	---M--	200	added ('OK')	image/png	etag:%22537-532816e1b34c0%22	https://www.ifly50.com/favicon-32x32.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/favicon-32x32.png	(from https://www.ifly50.com/en_in/50)
21:41:17	5117/5117	---M--	200	added ('OK')	image/png	etag:%2213fd-532816e2a7700%22	https://www.ifly50.com/mstile-144x144.png	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/mstile-144x144.png	(from https://www.ifly50.com/en_in/50)
21:41:19	115987/115987	---M-Z	200	added ('OK')	text/css	etag:%221c513-532816e2a7700-gzip%22	https://www.ifly50.com/static/css/app.css?v=20163018	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/static/css/app883a.css	(from https://www.ifly50.com/en_in/50)
21:41:19	8/8	---M--	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202016%2016:11:17%20GMT	https://www.ifly50.com/en_in/	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/en_in/index.html	(from https://www.ifly50.com/en_in/50)
21:41:20	32949/32949	---M-Z	200	added ('OK')	application/javascript	etag:%2280b5-532816e39b940-gzip%22	https://www.ifly50.com/static/js/modernizr.js?v=20163018	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/static/js/modernizr883a.js	(from https://www.ifly50.com/en_in/50)
21:41:21	24685/24685	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2003%20Oct%202016%2016:11:19%20GMT	https://use.typekit.net/sdd7yvo.js	C:/Users/Keerti%20Gautam/Documents/IF50/use.typekit.net/sdd7yvo.js	(from https://www.ifly50.com/en_in/50)
21:41:21	11014/11014	---M-Z	200	added ('OK')	text/css	etag:%22622726042+gzip%22	https://fast.fonts.net/cssapi/ca53be7c-8495-4b91-94ae-d4e7925bf7df.css	C:/Users/Keerti%20Gautam/Documents/IF50/fast.fonts.net/cssapi/ca53be7c-8495-4b91-94ae-d4e7925bf7df.css	(from https://www.ifly50.com/en_in/50)
21:41:22	652/652	---M-Z	200	added ('OK')	application/javascript	etag:%2228c-532816e39b940-gzip%22	https://www.ifly50.com/static/js/browsercheck.js	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/static/js/browsercheck.js	(from https://www.ifly50.com/en_in/50)
21:41:24	5365/5365	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202016%2016:11:22%20GMT	https://www.ifly50.com/en_in/unsupported-browser	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/en_in/unsupported-browser.html	(from https://www.ifly50.com/en_in/50)
21:41:25	142021/142021	---M--	200	added ('OK')	image/jpeg	etag:629ca7ffc7999324f24680d27fb0753e	https://b922bde52f23a8481830-83cb7d8d544f653b52d1a1621f05ea9d.ssl.cf3.rackcdn.com/images/landingpage.jpg	C:/Users/Keerti%20Gautam/Documents/IF50/b922bde52f23a8481830-83cb7d8d544f653b52d1a1621f05ea9d.ssl.cf3.rackcdn.com/images/landingpage.jpg	(from https://www.ifly50.com/en_in/50)
21:41:27	273306/273306	---M--	200	added ('OK')	image/jpeg	etag:ea506ffe64f1a0f8abb1be91e26ea3e3	https://b922bde52f23a8481830-83cb7d8d544f653b52d1a1621f05ea9d.ssl.cf3.rackcdn.com/images/cover_mobile_screen-min_V3-min.jpg	C:/Users/Keerti%20Gautam/Documents/IF50/b922bde52f23a8481830-83cb7d8d544f653b52d1a1621f05ea9d.ssl.cf3.rackcdn.com/images/cover_mobile_screen-min_V3-min.jpg	(from https://www.ifly50.com/en_in/50)
21:41:27	77229/77229	---M-Z	200	added ('OK')	application/javascript	etag:%2212dad-53d67b1b66600%22	https://www.klm.com/ams/tms/kl/web/tc-nonmi.js	C:/Users/Keerti%20Gautam/Documents/IF50/www.klm.com/ams/tms/kl/web/tc-nonmi.js	(from https://www.ifly50.com/en_in/50)
21:41:31	8755/8755	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202016%2016:11:29%20GMT	https://www.ifly50.com/en_in/terms-and-conditions	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/en_in/terms-and-conditions.html	(from https://www.ifly50.com/en_in/50)
21:41:31	441400/441400	---M--	200	added ('OK')	image/jpeg	etag:548d58ee36d7a3b92fdff2cdc5d14fca	https://b922bde52f23a8481830-83cb7d8d544f653b52d1a1621f05ea9d.ssl.cf3.rackcdn.com/images/_920x1920_crop_center-center/Filippijnen-Sambawan-v2.jpg	C:/Users/Keerti%20Gautam/Documents/IF50/b922bde52f23a8481830-83cb7d8d544f653b52d1a1621f05ea9d.ssl.cf3.rackcdn.com/images/_920x1920_crop_center-center/Filippijnen-Sambawan-v2.jpg	(from https://www.ifly50.com/en_in/50)
21:41:32	516413/516413	---M--	200	added ('OK')	image/jpeg	etag:dea562595804da6e00bc150eaef30e15	https://b922bde52f23a8481830-83cb7d8d544f653b52d1a1621f05ea9d.ssl.cf3.rackcdn.com/images/_1920x1296_crop_center-center/Filippijnen-Sambawan-Desktop.jpg	C:/Users/Keerti%20Gautam/Documents/IF50/b922bde52f23a8481830-83cb7d8d544f653b52d1a1621f05ea9d.ssl.cf3.rackcdn.com/images/_1920x1296_crop_center-center/Filippijnen-Sambawan-Desktop.jpg	(from https://www.ifly50.com/en_in/50)
21:41:33	4894/4894	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202016%2016:11:31%20GMT	https://www.ifly50.com/en_in/disclaimer	C:/Users/Keerti%20Gautam/Documents/IF50/www.ifly50.com/en_in/disclaimer.html	(from https://www.ifly50.com/en_in/50)
